n12913851,业务员代刷7.79亿元保费 南山人寿遭重罚
n12913689,感激女友照顾 吴慷仁谈婚事：规划中
n12914116,消基会抽查饮水用水龙头 1成含铅量超标
n12914114,雨来了调整水情灯号？王美花：下周才会明朗
n12914108,台铁国营化 苏贞昌：会保障员工权益
n12914104,全台水库进账1318万吨 石门水库进最多
n12914101,台立委劳团喊话 吁五大劳权尽速立法
n12914082,坐实美军优势？中共自曝辽宁号受严重干扰
n12914370,打击中共挖角芯片人才 台湾阻中介为大陆招人
n12915199,美国学者：美中价值观对立 弃台论难成现实
n12915203,陈势安创作公益主题曲 金钟视后柯淑勤出演MV
n12913553,香港修订入境条例 民团批闭关锁港或变大监狱
n12915659,台湾增3例本土确诊 相关足迹公布
n12915577,连静雯生活忙碌：很多事老天爷都有安排
n12915803,Lara预告情歌专辑 曾深陷单恋“3年才醒”
n12916032,匿名网友发文指控瑞莎 疑见风向不对悄删文
n12916593,外媒指台湾最危险 蔡英文：有能力建安全屏障
n12915264,【拍案惊奇】白宫遭声波攻击？拜登演讲斯科特走红
n12916873,台湾外长：若中共武力犯台 台湾将奋战到底
n12916753,美国务院呼吁世卫 邀请台湾参加世卫大会
n12917351,美国安顾问告诫中共：不可擅改台海现状
n12917707,台湾增1例本土确诊、3张足迹图卡 遍及多县市
n12915806,法轮功排字贺师尊华诞 天上七彩日晕辉映
n12918001,【唐浩视界】5大顾虑 中共不敢轻易犯台湾
n12917976,【拍案惊奇】山东号停滞？清末学者预言中共结局
n12918280,美印太司令交接 台海军司令刘志斌受邀出席
n12918415,美专家：中共若武攻台湾 或跟芯片短缺有关
n12918886,全球百大最具影响力企业出炉 台积电上榜
n12918983,台湾增4例本土确诊 相关足迹公布
n12919023,瑞莎“不放弃”培训选手 宣布国际赛惊人成绩
n12919313,黄秋生续拍《餐车2》 新搭档全是专业演员
n12919379,台增4例本土个案 皆为确诊者家人
n12919070,【疫情5.2】法国医疗援助设备抵达印度
n12919295,台驻法代表受邀去美驻外使馆交流 42年来首次
n12916781,“我是活生生的见证”亡命徒找到重生路
n12919962,印度公司8台湾人打科兴疫苗5人染疫1去世
n12919247,美两党议员挺台参与世卫大会“让台湾帮忙”
n12920397,避免群聚感染 台湾大学生设计隔离过滤住宅
n12920516,桃园市深夜大停电 果子狸误触开关导致
n12920564,面对百年大旱 蔡英文指示加速开发新水源
n12920633,台湾增2例本土确诊 公布1例足迹
n12920899,《火神》首播收视称冠 登当日关键字热搜第2
n12920900,台湾诗人管管跌倒昏迷辞世 享寿92岁
n12921454,台立院审议私校退场条例 教团：勿打假球
n12921459,黑衣人闹警所 徐国勇：的确有很大瑕疵
n12921447,消保处修正汽车维修契约
n12921445,越南收容人闹房 移民署：已沟通并函办5人
n12921433,鳗鱼外转内销　国道服务区吃的到鳗鱼便当
n12920831,【疫情5.3】美国每日平均新增病例不足5万
