n12902211,北京73岁法轮功学员张淑香在迫害中离世
n12902826,中共推“工龄归零” 重庆受害者叹活不下去
n12902393,北京一家人炼法轮功遭中共打压 3人含冤离世
n12888540,三女子讲述“4·25”上访前后不寻常经历
n12902807,北京万人上访幕后 天津事件真相（3）
n12901372,英国法轮功学员：22年前我所经历的4.25
n12903131,无怨无悔“4.25”亲历者走过生死劫
n12886940,历史回顾：四二五事件前 中共构陷法轮功
n12902739,武汉农家妇女遭枉判4年 被劫入湖北女监
n12904197,11法轮功学员遭北京非法起诉 律师吁关注
n12904042,贵阳一家庭教会遭打压 张春雷妻子遭传唤
n12903976,震惊世界的中南海万人上访
n12904204,“4.25”上访震惊世界 多国政要持续声援
n12903745,中共株连施压 母女断绝关系 老人流离失所
n12887031,“围攻中南海”？四二五亲历者还原真相
n12901003,黑龙江北林区二十多名法轮功学员遭骚扰
n12905307,公民记者王晶获第八届奥斯卡人权奖
n12906360,只因这句话？赵婷奥斯卡领奖 中共封杀
n12904002,遭酷刑九死一生 大连护士周艳波再被冤判
n12906574,瑞士法轮功学员中使领馆前纪念4‧25
n12895161,法轮功学员陈书义遭冤判4年 公检掩盖真相
n12906939,神像堂改骨灰堂 泰州道长揭民宗局官员敛财
n12907045,维藏蒙及港人日本长野集会 促抵制北京冬奥会
n12906589,成都女子遭绑架 八旬老母奔走讨公道
n12898622,器官协调员亲见 摘器官时供体在抽搐（下）
n12907315,【珍言真语】麦燕庭：打压新闻自由 香港推向专制
n12908222,遭上绳等酷刑 大庆职工吕观茹被泰来监狱害死
n12909477,安踏跟随中共路线继续采购新疆棉 外界担忧
n12908872,2020年武汉法轮功学员遭中共迫害一览
n12910618,对抗中共假新闻 中国人成功插播真相
n12909116,全厂公认的好人 长春工程师孙振铁遭绑架
n12906024,陕西第一任政法委书记孙安华迫害法轮功罪行
n12911472,北京闹市区建制药厂病毒实验室 居民抗议
n12912959,广东养殖政策多变 村民养猪场遭强拆无赔偿
n12911090,辽宁一家遭遇 女儿女婿陷冤狱 老人撒手人寰
n12911564,陕西第二任政法委书记赵正永迫害法轮功罪行
n12914535,一月内 五位法轮功学员被中共黑狱迫害致死
n12914636,父亲被抓 海外儿子吁河南当局释放：维权无罪
n12914772,贵阳基督徒遭非法拘留 状告公安局被拒
n12914624,退休上校死于山东监狱 中共被指步步违法
n12915151,北京画家等11人被非法起诉 律师谴责中共
n12916513,富商控全国人大蔡学恩律所 涉嫌虚构诉讼（上）
n12914221,常州副市长前无锡“610”主任杜荣良被查
n12913564,中共株连制打压百姓 母亲被儿子撵出家门
n12917361,北京小汤山强拆后续 业主失联小区清场
n12916149,累陷冤狱7年 北京优秀教师再被劫入看守所
n12915806,法轮功排字贺师尊华诞 天上七彩日晕辉映
n12916576,控告江泽民陷冤狱 沈阳老人被扣发养老金3年
n12918398,习近平一带一路背后：中国劳工海外陷绝望
n12917860,骚扰不断 家门被封 被迫流亡的中国老人
n12918735,杨晖律师：中国到处是高压线 不止一根
n12919119,绿叶行动薛仁义出狱日 重庆多人被控制
n12916781,“我是活生生的见证”亡命徒找到重生路
n12919748,绝不屈膝 前美国务次卿：世界看清习近平3C原则
n12918302,陕西第三任政法委书记宋洪武迫害法轮功罪行
n12920555,新闻自由日 中共被评为言论自由最大敌人
n12921162,遭17年冤狱 四川法轮功学员钟俊芳含冤离世
n12921790,美国内华达州参议员褒奖世界法轮大法日
n12922029,“国安法”阴霾下 香港新闻自由指数暴跌
n12922040,世界新闻自由日 大陆四位公民记者受关注
n12922589,欧盟制定战略减少关键领域对中国的依赖
n12739973,加州华人中领馆前呼吁：让异议人士回家过年
n12738630,大年前 中共绑架骚扰1,216名法轮功学员
n12740592,冤狱11年 长沙法轮功学员张灵革再被非法关押
n12742164,日美实验证明 新冠状病毒伤害味觉感知组织
n12740976,被吊律师证 任全牛：为弱势群体发声无怨无悔
n12741261,大陆律师：中共吊销任全牛律师证为何违法
n12742621,耿潇男夫妇均被判刑 好友许章润被堵家中
n12742854,专家张文宏暗批中共防疫政策将致人精神崩溃
n12743252,涉酷刑和数十命案 马三家教养院竟被中共褒奖
n12743667,插手重判恶俗维基案 茂名中院被指劣迹斑斑
n12744485,黄琦与母亲通话 仅说三句话就被掐断
n12744215,受美国关注的马振宇遭监控 中共拖着不办护照
n12745277,国际学界联署致信习近平 吁释放郭飞雄
n12745458,法轮功学员丁桂英遭秘密判刑 被迫害致死
n12745410,谢师恩 大陆法轮功新学员祝李洪志师父新年好
n12745497,揭疫情真相7人遭监禁 国际组织吁中共放人
n12745688,法轮功学员姚新人遭看守所迫害 昏迷9个月
n12746809,中共允许缺席审判 或致海外异议人士彻底切割
n12746403,重庆访民吃年饭 危文元遭警告要给官员留面子
n12747445,北京艺术家刘进兴出狱 因“呐喊”作品被判刑
n12747834,大陆大法弟子向李洪志师尊拜年 倾诉感恩
n12748741,大陆人权律师余文生获马丁‧恩纳斯人权奖
n12749331,大年初一 重庆访民在黑保安监控中度过
n12749464,澳洲参议员：感谢上帝 年轻人在对抗中共
n12749659,北京共有产权房乱象 豆腐渣工程堪忧
n12750084,【时事纵横】拜登过年送礼 民主党嫁祸川普未果
n12750040,中共滥用刷脸引反感 大陆民众被变“透明人”
n12748078,国内法轮功学员遇难 海外华人打电话营救
n12752067,六四天网义工募款 助黄琦与母亲渡过难关
n12752240,大年初一到北京拜年 四川访民被关黑监狱
n12750047,中国各军区兵种大法弟子给李洪志大师拜年
n12752658,英国正式立法 抵制中共活摘器官
n12743723,“天安门自焚案”制造者的今日和往昔
n12753685,维权律师卢思位遭吊照 不后悔代理12港人案
n12753883,被限在家 SARS吹哨人军医蒋彦永近照曝光
n12754152,活埋酷刑折磨人 高阳劳教所的血腥罪恶
n12754376,遭冤判7年 法轮功学员曹艳芬被劫入吉林女监
n12741277,预告：新世纪新片《百里挑一》大年初五发布
n12754874,【一线采访】求解封 藁城数千业主反抗
n12755152,中产也上街 中国人捍卫房产不分阶层都抗争
n12755200,见证活摘器官医生：因香港 英对中共转强硬
n12754803,【一线采访】藁城再封村封区 解封无望
n12755616,专家：Clubhouse用户资料有落入中共手中风险
n12755650,国保强行撤重症救治 法轮功学员姚新人离世
n12755653,抗共青年张盼成网上发布视频再遭抓捕
n12755879,反对政府租地建房 重庆两村民被软禁六年
n12756429,记录当代中国文字狱的推主：会一直做下去
n12757731,屡遭迫害 昆明法轮功学员邓桂英含冤离世
n12759851,局长抢地夺房 吉林企业家申冤15年
n12758769,美弗州第三县决议案 吁制止到中国移植器官
n12760614,美国小伙弃当中国网红感言：无法出卖灵魂
n12760299,七旬法轮功学员被骚扰 大过年流落在外
n12760736,【一线采访】艺术生被困藁城酒店40多天
n12760747,访民进京上访村官打人 江西宜春警方乱抓人
n12760718,【役情最前线】拜登人权观遭批“中共大外宣”
n12761244,中国新年过后 各地访民赶赴北京维权
n12761213,佩洛西：为中国人权发声 是美国两党议题
n12761279,大批上海访民进京维权被遣返
n12762614,数百万中国人的黄历新年阴影
n12760433,历经种种魔难 原三级警督梁耀敏再遭绑架
n12763459,茂名政法委施压 田海波律师退出牛腾宇案
n12762184,活活打死人 锦州监狱发生的暴行
n12763749,暴力强拆 上海四访民进京上访被抓
n12764216,中共两会将至 上海当局严控访民上访
n12762813,21年来 大连十几万法轮功学员遭中共迫害
n12764905,【一线采访】石家庄控疫严厉 民疾呼活不下去
n12765327,发表关于阵亡官兵言论 大陆两网民遭刑拘
n12765940,美如何制止中共活摘器官 官员：对中共追责
n12765812,原国防科大博士生李志刚被非法批捕
n12766146,石家庄降为低风险区 网民早说三天被拘十天
n12765744,专家：拜登在美媒讲话是对中共的可怕让步
n12766336,大陆大法弟子赋诗 向李洪志大师拜年
n12767303,两访民被关精神病院 重庆12公民探视受阻
n12767546,因言获罪 又有多人因评论“戍边英雄”被拘
n12767476,江苏盐城市九名法轮功学员遭非法判刑
n12768118,中共迫害维吾尔人 爱尔兰50多宗教领袖谴责
n12767749,迫害法轮功 广东670人厄运 公安系统居多（5）
n12749844,组图：大陆大法弟子致李洪志大师贺年卡精选
n12768551,黄琦案庭审违法 蒲文清拟提重审并控告法官
n12768820,肖成林被软禁 重庆公民探访遭黑保安阻拦
n12768383,多少大陆医院涉嫌活摘人体器官（5）
n12769895,在京女访民似流亡 一周三进派出所
n12770252,恒压阀售后被用来组装气枪 研产者获刑10年
n12769725,瘫痪失忆11年 南京军区干部张朝贵含冤离世
n12770399,赵凤华：中共集中营里的奴役和种族灭绝
n12770676,大陆30余行业法轮功学员向李洪志大师拜年
n12772073,报告：中共非法起诉大量维族人 任意定罪判刑
n12772003,学者：中共为何严打“侮辱英烈”的网民
n12770796,大陆大学生等青年大法弟子向李洪志师尊拜年
n12773031,【重播】中共强摘器官研讨会 多国议员专家参加
n12772178,法轮功学员王素珍第三次被劫入辽宁女监
n12773832,从三起“息诉罢访”案看中共信访制套路
n12775092,科顿等议员提法案 拟制裁中共统战部
n12775216,嘲讽“胡叼盘” 大陆时评人遭中共全网封杀
n12775087,117个机构联合会议 吁对中共活摘器官追责
n12775458,中共对公民工龄清零 或有千万人退休金被吞
n12775128,加国参议员：中共对法轮功学员犯下群体灭绝罪
n12777217,【独家】联合国将异见者名单私下给中共
n12776804,广东法轮功学员李艳霞遭警察绑架抢劫
n12778250,传播避疫良方被判“煽颠”中共又一口袋罪
n12779059,探望被软禁访民 重庆公民遭黑保安诬告
n12779127,专访王靖渝：中共流氓 抓无辜父母当诱饵 （上）
n12779204,Clubhouse被禁后 中国版软件也纷纷被下架
n12777332,青岛前市长张新起迫害法轮功 涉上百命案
n12778925,中共器官移植专家臧运金离世 传跳楼死
n12779741,中共将开两会 北京全城大搜捕（二）
n12779814,专访王靖渝：九评帮我认清中共的邪恶（下）
n12779894,中共将开两会 北京全城大搜捕（三）
n12780347,无锡访民联名举报政府 黑恶手段“维稳”
n12780160,79岁退休高级讲师出冤狱 养老金遭剥夺
n12780504,中共将开两会 北京全城大搜捕（四）
n12780847,蓬佩奥：若不指认中共种族灭绝 世界失方向
n12780349,中共暴政下 一个三代家族的十年生死
n12780753,美委员会收录宗教受迫害者名单 关注法轮功
n12781003,美议员：对中共追责是我在国会当务之急
n12781995,中共两会前 苏州政府暴力抓捕访民
n12782585,美议员：拜登须指定中共为跨国犯罪组织
n12782657,肛检造成心理痛苦 东京要北京对日本人停用
n12782847,中共欲推出2020年美国人权报告 意欲何为？
n12783156,质疑中方死伤人数 网络大V被迫“电视认罪”
n12783239,为父申冤 新疆许翠琴遭非法羁押近两年
n12783706,逐户敲门查身份证 黑龙江警方北京抓访民
n12784923,外媒驻华记者遭干扰 欧盟吁北京尊重新闻自由
n12784938,中共将开两会 北京全城大搜捕（五）
n12784325,曾遭劳教折磨 宁夏残疾女严英再被绑架
n12785295,法媒揭中共渗透校园 中领馆放影片转焦点遭轰
n12785270,西昌市委书记李俊被双开 曾与女副书记通奸
n12785050,法轮功学员宋梁遭构陷庭审 其妻被非法通缉
n12785954,一部捷克漫画作品将聚焦中共强摘器官
n12787102,非法判案 吉林榆树法院刑事庭长张立国被举报
n12785715,美弗州劳登县通过决议案 声援法轮功
n12787719,外媒能否自由报导北京冬奥？汪文斌答非所问
n12786396,被关两年首见律师 维权人士陈建芳坚称无罪
n12776897,冤狱7年受残酷折磨 75岁退休教师再遭枉判
n12789261,江苏男举报32吨假饮料 三年无果 反遭殴打
n12739016,黄山法轮功学员徐积权在迫害中离世
n12741025,2020年 湖北咸宁百名法轮功学员遭打压
n12789611,90岁访民上海市政府维权 遭警察掐颈抢诉状
n12789757,中共强行对更多国际乘客肛测 引发外交纠纷
n12789638,中共文件曝光：以脱贫为名 大规模转移维族人
n12789932,取消小学生作业？中共政协委员提案惹争议
n12790123,美地方官员提议 全方位阻止中共强摘器官
n12790038,【一线采访】美团外卖小哥罢工 抗议降薪
n12765621,屡遭酷刑折磨 法轮功学员付燕飞再被枉判5年
n12791420,中共开两会 山东残疾访民出门看病屡遭拦截
n12789102,中国新年期间 至少121名法轮功学员遭枉判
n12791978,【新闻大家谈】遭跨国文字狱 王靖渝揭中共黑幕
n12792412,中共称“恢复政治权利” 民众：最大冷笑话
n12792556,英议员：强摘的法轮功学员器官不能进入英国
n12792196,吉林蛟河市8名法轮功学员被劫入看守所
n12792813,南昌七名法轮功学员被手机定位跟踪绑架
n12792708,聂树斌冤案翻版？河北公检法隐匿血案物证
n12793091,中共修改香港选举制度 美国和欧盟猛批
n12793531,中共开两会 北京警察利用人脸识别抓访民
n12793222,九千多“610”恶人名单被递交38国政府
n12793626,两会前夕 河北访民遭警察恐吓：哪儿都别去
n12793837,揭武汉疫情惨状 方斌失踪至今 蔡霞吁寻找
n12793489,【拍案惊奇】港共暴政下相约 照片中只剩她
n12787309,大连近两百人遭厄运 都曾迫害法轮功（9）
n12794077,前保守党领袖：英政府绕不开群体灭绝修正案
n12794364,江西脑控受害者钟志勇第五次被关精神病院
n12794634,美资深记者：习近平将我逼成了对华鹰派
n12794588,中国首批造价工程师周向阳命危 母吁营救
n12795104,两会中共外长王毅回应新疆种族灭绝 遭驳斥
n12794963,北京通州绑架案受害人宋玉波遭京警诱骗失联
n12794976,过年间 至少708名法轮功学员遭绑架骚扰
n12795303,遭信仰迫害 上海高级工程师杨卉被构陷到法院
n12795531,提议器官捐献率纳入城市考核 人大代表挨轰
n12797345,美国首都真相汽车游行 民众支持“解体中共”
n12796723,两会期间 遭截回的访民全失联 北京警察卸责
n12797487,三年来 三千多名老年法轮功学员遭中共迫害
n12796964,给老父亲送粥 北京法轮功学员霍志芳遭绑架
n12795367,成都“610”主任廖维忠被审查
n12798692,封存五年的调查录音：军医揭军队活摘器官
n12799382,美委员会发推 中共性侵囚犯行径再受关注
n12799872,重庆维权公民外出打工被拦截控制在家
n12799933,《无依之地》再获大奖 距奥斯卡更进一步
n12800012,在京访民上班途中被绑架 家属拟控告淄川当局
n12800129,独立报告作者：中共领导层是种族灭绝设计者
n12799369,遭毒打致脑伤 法轮功学员李建魁再被非法关押
n12799981,宁夏前政法委书记张韵声被举报
n12800530,山西忻州访民举报政府侵吞补偿款 遭报复
n12800593,中共两会高压“维稳” 被捕外卖骑手音信全无
n12800642,比利时媒体：展示被谋杀者的尸体是种亵渎
n12801570,两会期间北京维权者李美青被逼吞安眠药
n12801600,美两党议员提出立法 制止中共强摘器官
n12800940,每年两会官派黑保安进驻家中 访民投诉无门
n12801417,【时事人物】高智晟：用我这辈子拯救我下辈子
n12802057,两会维稳升级 逼人吞大量安眠药
n12802003,长年遭骚扰 保定法轮功学员王兵义含冤离世
n12802565,英国：更改选举制度是中共对香港自由的攻击
n12802990,中共监控步步升级 “锐眼”鼓励监视身边人
n12802745,谁拿走了这些中国人的退休金？
n12803484,会否对中共让步？布林肯会晤前遭追问
n12803883,组图：中共镇压西藏62周年 印度流亡藏人抗议
n12803746,移植名家臧运金跳楼亡 其“青岛模式”受关注
n12805153,河北保定支振祥一家人的遭遇 三人冤死
n12805640,江苏两会“维稳”访民遭黑头套绑架残暴殴打
n12805869,北京李美青被逼服药再被关押 年迈父母喊冤
n12805218,美弗州第6县通过决议案 抵制中共强摘器官
n12807641,美国谴责中共侵犯人权及打压香港民主人士
n12559424,【大时代华人】扶摇的成长故事
n12808152,中共改香港选制 G7外长和欧盟联合谴责
n12804529,陷冤狱五年 哈尔滨女工程师再被构陷到法院
n12808335,马三家受害妇女讲不幸遭遇 两会期间被抓
n12806924,“广州大抓捕”多人被抓 当局迄今封锁消息
n12809185,抨击中共侵犯人权 欧议会议员吁抵制北京冬奥
n12809291,武汉维权人曾寿云遭中共打手街头掀翻轮椅
n12806464,湖北访民被截访 吃警方给的汉堡后上吐下泻
n12809497,北京小汤山强拆后续 业主被强行带走后失联
n12809630,曾揭江泽民二奸二假的学者吕加平因病去世
n12810012,两会期间病房成监狱 血制品受害者被边控
n12810659,插播真相遭枉判19年 佳木斯孙兆海将结束冤狱
n12811044,缅甸抗议最血腥一天  逾39人死
n12810955,美制止强摘器官法案如通过 将意味着什么
n12810352,法轮功学员岳彩云遭浙江省第二监狱迫害致死
n12810822,河南十多名法轮功学员遭冤判 最高刑期9年
